,job title,company,region,skills required,is remote?,is fresher?
135,Data scientist,Paytm,Noida,,No,NA
136,Data scientist,Censius,Remote in India,Machine Learning,Yes,No
137,Data scientist,Siemens Healthineers,Bengaluru,"Data Visualization, Preprocessing",No,NA
138,Data scientist,Hookfish,Mumbai,,No,NA
139,Data scientist,Kmart,Bengaluru,,No,No
140,Data scientist,CodiniX,Noida,Etl,No,NA
141,Data scientist,E Page Infotech,Remote in Pune,,Yes,No
142,Data scientist,Ataloud Technologies,Remote,,Yes,No
143,Data scientist,Sourcedesk Global,Kolkata,Python,No,NA
144,Data scientist,Sybrant Data,Chennai,"Python, Machine Learning, Data Mining",No,No
145,Data scientist,Autodesk,Bengaluru,Stat,No,NA
146,Data scientist,Visa,Hybrid remote in Bengaluru,AI,Yes,NA
147,Data scientist,Mercedes-Benz Research and Development India...,Bengaluru,,No,NA
148,Data scientist,NexaQ,Remote,,Yes,NA
149,Data scientist,Clarivate,Hybrid remote in Bengaluru,,Yes,NA
150,Data scientist,Saffo Solution Technology,Pune,,No,NA
151,Data scientist,Imurgence,Jamshedpur,"Machine Learning, Deep Learning, Big Data, Stat",No,NA
152,Data scientist,Comviva,Bengaluru,Data Mining,No,No
153,Data scientist,Ninestars Information Technologies,Bengaluru,,No,No
154,Data scientist,Perfality Business Solutions LLP,Jaipur,Data Visualization,No,No
155,Data scientist,Akscellence Info Solutions,New Delhi,,No,Yes
156,Data scientist,Imurgence,India, R ,No,No
157,Data scientist,Recruise India Consulting Pvt Ltd,Bengaluru,Stat,No,NA
158,Data scientist,Great Learning,Gurgaon,"Python,  Sql ",No,No
159,Data scientist,Rubrik Job Board,Bengaluru,,No,NA
160,Data scientist,Marktine Technology Solutions,Remote,,Yes,NA
161,Data scientist,Supermaths,Kolkata,Machine Learning,No,NA
162,Data scientist,ADCI - Karnataka,Bengaluru,"Machine Learning, Deep Learning, Stat",No,No
163,Data scientist,RELX,India,,No,No
164,Data scientist,Findability Sciences,Aurangabad,,No,No
165,Data scientist,SourceFuse Technologies,Noida,,No,Yes
166,Data scientist,Concentrix,Bengaluru,,No,No
167,Data scientist,Accenture,Noida,Big Data,No,NA
168,Data scientist,Sinarmas Land,Andaman and Nicobar Islands,Stat,No,No
169,Data scientist,Agnik,India,,No,No
170,Data scientist,Accenture,Mumbai,Stat,No,NA
171,Data scientist,EY,Hyderabad,,No,No
172,Data scientist,True Tech Professionals Private Limited,Gurgaon,Machine Learning,No,No
173,Data scientist,Fortuna Entertainment Group,India,,No,No
174,Data scientist,FiscalNote,Gurgaon,,No,NA
175,Data scientist,Revol Process Solutions,Chennai,,No,NA
176,Data scientist,Deutsche Bank,Mumbai,,No,NA
177,Data scientist,LanceTech Solutions Pvt Ltd,Agra,,No,NA
178,Data scientist,Kloud9,India,,No,Yes
179,Data scientist,Jet2 Travel Technologies,Remote in Pune,,Yes,No
180,Data scientist,Prevalent AI,Kochi,"Python, Big Data",No,No
181,Data scientist,GiBots,Pune,Data Structure,No,NA
182,Data scientist,EVC Ventures,Gurgaon,,No,No
183,Data scientist,HSBC,Mumbai,,No,NA
184,Data scientist,REIZEND PRIVATE LIMITED,Thiruvananthapuram,"Data Mining, Stat",No,No
185,Data scientist,Codvo.ai,Remote in Bengaluru,,Yes,NA
186,Data scientist,Imurgence,Remote,,Yes,NA
187,Data scientist,Perfect eLearning,Hyderabad,,No,No
188,Data scientist,Convera,Remote in Pune,,Yes,NA
189,Data scientist,GeakMinds,Remote in Chennai,"Data Mining,  Sql , Stat",Yes,NA
190,Data scientist,PayPal,Hyderabad,,No,NA
191,Data scientist,A2Z Jobs Consultancy,Kolkata,,No,NA
192,Data scientist,Acuity Knowledge Partners,Bengaluru,,No,NA
193,Data scientist,LinkedIn Limited Listings,Gurgaon,Machine Learning,No,NA
194,Data scientist,PharmaACE,Pune,,No,NA
195,Data scientist,Ayruz Data Marketing,Kerala,Data Mining,No,No
196,Data scientist,Peak AI,Hybrid remote in Pune,Deployment,Yes,No
197,Data scientist,Takeda Pharmaceutical,Bengaluru,,No,NA
198,Data scientist,Bombay Play,Bengaluru,Stat,No,NA
199,Data scientist,Publicis Sapient,Gurgaon,,No,NA
200,Data scientist,SrinSoft,India,"Data Visualization, Big Data",No,No
201,Data scientist,Pratt & Whitney,Bengaluru,,No,No
202,Data scientist,Salesforce,Hyderabad,,No,NA
203,Data scientist,iDataLytics,Ernakulam,,No,No
204,Data scientist,Aptus Data LAbs,Bengaluru,,No,NA
205,Data scientist,Flipkart,Bengaluru,Stat,No,No
206,Data scientist,SPAATech Solutions,India,Data Mining,No,NA
207,Data scientist,India Bison,Remote,Etl,Yes,NA
208,Data scientist,Citi,Bengaluru,,No,No
209,Data scientist,LYCUS,Bengaluru,Artificial Intelligence,No,NA
210,Data scientist,Training Basket,Gautam Budh Nagar,Data Visualization,No,No
211,Data scientist,infoanalytica,Ahmedabad,"Data Mining, Stat",No,No
