,job title,company,region,skills required,is remote?,is fresher?
123,Data analyst,Biocube,Gurgaon,,No,No
124,Data analyst,Thoucentric,Bengaluru,,No,No
125,Data analyst,Mercedes-Benz Research and Development India...,Bengaluru,Big Data,No,NA
126,Data analyst,KPMG,Gurgaon,,No,NA
127,Data analyst,Wells Fargo,Bengaluru,,No,NA
128,Data analyst,FedEx Express MEISA,Mumbai,,No,Yes
129,Data analyst,Oracle,India,Database,No,NA
130,Data analyst,Accenture,Bengaluru,Data Visualization,No,NA
131,Data analyst,S&P Global,Hyderabad,,No,NA
132,Data analyst,EY,Thiruvananthapuram,"Data Structure, Etl",No,NA
133,Data analyst,Accenture,Kolkata,,No,NA
134,Data analyst,Aon Corporation,Gurgaon,Database,No,NA
135,Data analyst,AceNgage Infoservices,Bengaluru,Data Mining,No,NA
136,Data analyst,Akamai,Remote,,Yes,NA
137,Data analyst,Xponent n,Bengaluru,,No,No
138,Data analyst,Krome dispense pvt ltd,Jalandhar,Stat,No,NA
139,Data analyst,GXO Logistics,Mumbai,"Machine Learning, Data Mining, Database",No,No
140,Data analyst,"Magus Infotech India Pvt. Ltd.,",Navi Mumbai,"Python, Database",No,Yes
141,Data analyst,Uvation,Remote in Delhi,,Yes,NA
142,Data analyst,Legalwiz,India,"Python, Data Visualization, Stat",No,NA
143,Data analyst,Siemens,Bengaluru,,No,Yes
144,Data analyst,The Scalers,Bengaluru,,No,NA
145,Data analyst,Wipro Limited,Pune,,No,NA
146,Data analyst,Anika Technologies,India,,No,No
147,Data analyst,Carrier,Hyderabad,,No,Yes
148,Data analyst,Goldman Sachs,Hyderabad,Stat,No,No
149,Data analyst,Genpact,Bengaluru,Excel,No,NA
150,Data analyst,Chandigarh University,Mohali,,No,NA
151,Data analyst,BSRI Solutions,Chennai,,No,NA
152,Data analyst,Equipped,Noida,,No,NA
153,Data analyst,Helius Technologies,India,Data Visualization,No,No
154,Data analyst,NSIGHT Consulting Group Pvt Ltd,Remote in Gurgaon,,Yes,NA
155,Data analyst,JPMorgan Chase & Co,Mumbai,,No,NA
156,Data analyst,LNC Enterprises,Gurgaon,"Data Visualization, Stat",No,No
157,Data analyst,CeX,Lower Parel,,No,Yes
158,Data analyst,LogisticsNow,Mumbai,,No,No
159,Data analyst,Think Future Technologies,Remote in Gurgaon,,Yes,No
160,Data analyst,nurture.farm,Bengaluru,Database,No,Yes
161,Data analyst,AppleTech,Vadodara,,No,NA
162,Data analyst,Infor,Bengaluru,,No,NA
163,Data analyst,Equifax,Mumbai,Etl,No,NA
164,Data analyst,Escalent,Remote,Stat,Yes,NA
165,Data analyst,TARGET,Bengaluru,,No,NA
166,Data analyst,Ideas to Impacts Innovations,Maharashtra,"Python, Etl, Database",No,Yes
167,Data analyst,Group 8A,Remote in India,,Yes,NA
168,Data analyst,HighLevel Inc.,Remote,"Data Visualization,  Sql , Dashboard",Yes,NA
169,Data analyst,Orbio solutions,Calicut,"Python, Data Visualization,  Sql , Excel, Tableau",No,Yes
170,Data analyst,RPA Infotech,Gurgaon, Sql ,No,NA
171,Data analyst,Athena,Remote,,Yes,NA
172,Data analyst,Apple,Bengaluru,,No,Yes
173,Data analyst,General Mills,Mumbai,,No,No
174,Data analyst,Datagaps Inc (Nanyata Software Solutions Pvt....,Remote,,Yes,NA
175,Data analyst,DataEconomy,Gurgaon,,No,No
176,Data analyst,Paychex IT Solutions India,Bengaluru,Database,No,NA
177,Data analyst,Infosys,Pune,Tableau,No,NA
178,Data analyst,Infineon Technologies,Bengaluru,,No,Yes
179,Data analyst,Knowledgetics Research,Gurgaon,,No,NA
180,Data analyst,YuktaMedia,Pune, Sql ,No,No
181,Data analyst,ABB,Bengaluru,,No,Yes
182,Data analyst,Amplework,Jaipur,,No,NA
